Motor Load (HP);Approx. Motor Speed (rpm);Inner Race;Ball;Outer Race6 ;Outer Race9;Outer Race12
-1,331117951;1,381101923;2,748414615;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;2,748414615;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;2,748414615;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;2,748414615;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;2,748414615;-0,508965669;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;2,748414615;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;2,748414615;-0,508965669;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;2,748414615;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;-0,434162804;-0,330718914;-0,330718914
